Consistency Run 1 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
DROP_START=0.1 → DROP_MAX=0.4 over 40 epochs | CONS_LAMBDA=0.3
OmegaTransformer: 275,010 parameters
Starting consistency training...

Epoch 001 | drop=0.11 | cls=1.3145 cons=0.0029 | Omega Rec: 0.748 | Anti Rec: 0.470 | A@0.55: 0.305 | Score: 0.2183 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | drop=0.12 | cls=1.2899 cons=0.0034 | Omega Rec: 0.669 | Anti Rec: 0.594 | A@0.55: 0.475 | Score: 0.2637 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | drop=0.12 | cls=1.2817 cons=0.0037 | Omega Rec: 0.660 | Anti Rec: 0.615 | A@0.55: 0.509 | Score: 0.2747 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | drop=0.13 | cls=1.2778 cons=0.0040 | Omega Rec: 0.663 | Anti Rec: 0.615 | A@0.55: 0.512 | Score: 0.2778 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | drop=0.14 | cls=1.2738 cons=0.0045 | Omega Rec: 0.669 | Anti Rec: 0.610 | A@0.55: 0.510 | Score: 0.2797 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | drop=0.15 | cls=1.2709 cons=0.0049 | Omega Rec: 0.668 | Anti Rec: 0.615 | A@0.55: 0.517 | Score: 0.2834 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | drop=0.15 | cls=1.2680 cons=0.0051 | Omega Rec: 0.671 | Anti Rec: 0.614 | A@0.55: 0.518 | Score: 0.2845 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | drop=0.16 | cls=1.2665 cons=0.0056 | Omega Rec: 0.665 | Anti Rec: 0.622 | A@0.55: 0.521 | Score: 0.2872 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | drop=0.17 | cls=1.2648 cons=0.0058 | Omega Rec: 0.665 | Anti Rec: 0.623 | A@0.55: 0.525 | Score: 0.2883 | LR: 0.000500 | No-improve: 0/25
Epoch 010 | drop=0.18 | cls=1.2633 cons=0.0060 | Omega Rec: 0.664 | Anti Rec: 0.627 | A@0.55: 0.527 | Score: 0.2911 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | drop=0.18 | cls=nan cons=0.0062 | Omega Rec: 0.668 | Anti Rec: 0.625 | A@0.55: 0.525 | Score: 0.2932 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | drop=0.19 | cls=1.2622 cons=0.0065 | Omega Rec: 0.663 | Anti Rec: 0.630 | A@0.55: 0.531 | Score: 0.2922 | LR: 0.000500 | No-improve: 0/25
Epoch 013 | drop=0.20 | cls=1.2583 cons=0.0069 | Omega Rec: 0.664 | Anti Rec: 0.629 | A@0.55: 0.531 | Score: 0.2934 | LR: 0.000500 | No-improve: 1/25
Epoch 014 | drop=0.21 | cls=1.2590 cons=0.0072 | Omega Rec: 0.668 | Anti Rec: 0.629 | A@0.55: 0.525 | Score: 0.2976 | LR: 0.000500 | No-improve: 0/25
Epoch 015 | drop=0.21 | cls=1.2565 cons=0.0073 | Omega Rec: 0.666 | Anti Rec: 0.630 | A@0.55: 0.528 | Score: 0.2963 | LR: 0.000500 | No-improve: 0/25
Epoch 016 | drop=0.22 | cls=1.2559 cons=0.0077 | Omega Rec: 0.669 | Anti Rec: 0.628 | A@0.55: 0.527 | Score: 0.2964 | LR: 0.000500 | No-improve: 1/25
Epoch 017 | drop=0.23 | cls=1.2545 cons=0.0080 | Omega Rec: 0.666 | Anti Rec: 0.631 | A@0.55: 0.530 | Score: 0.2972 | LR: 0.000500 | No-improve: 2/25
Epoch 018 | drop=0.24 | cls=1.2542 cons=0.0081 | Omega Rec: 0.671 | Anti Rec: 0.625 | A@0.55: 0.524 | Score: 0.2966 | LR: 0.000500 | No-improve: 3/25
Epoch 019 | drop=0.24 | cls=1.2529 cons=0.0086 | Omega Rec: 0.667 | Anti Rec: 0.633 | A@0.55: 0.531 | Score: 0.3000 | LR: 0.000500 | No-improve: 4/25
Epoch 020 | drop=0.25 | cls=1.2521 cons=0.0089 | Omega Rec: 0.663 | Anti Rec: 0.635 | A@0.55: 0.533 | Score: 0.2981 | LR: 0.000500 | No-improve: 0/25
Epoch 021 | drop=0.26 | cls=1.2520 cons=0.0090 | Omega Rec: 0.665 | Anti Rec: 0.634 | A@0.55: 0.534 | Score: 0.2993 | LR: 0.000500 | No-improve: 1/25
Epoch 022 | drop=0.27 | cls=1.2504 cons=0.0093 | Omega Rec: 0.666 | Anti Rec: 0.632 | A@0.55: 0.532 | Score: 0.2978 | LR: 0.000500 | No-improve: 2/25
Epoch 023 | drop=0.27 | cls=1.2499 cons=0.0096 | Omega Rec: 0.672 | Anti Rec: 0.627 | A@0.55: 0.528 | Score: 0.2987 | LR: 0.000500 | No-improve: 3/25
Epoch 024 | drop=0.28 | cls=1.2508 cons=0.0098 | Omega Rec: 0.674 | Anti Rec: 0.625 | A@0.55: 0.525 | Score: 0.2991 | LR: 0.000500 | No-improve: 4/25
Epoch 025 | drop=0.29 | cls=1.2484 cons=0.0103 | Omega Rec: 0.673 | Anti Rec: 0.627 | A@0.55: 0.526 | Score: 0.3000 | LR: 0.000500 | No-improve: 5/25
Epoch 026 | drop=0.30 | cls=1.2496 cons=0.0104 | Omega Rec: 0.674 | Anti Rec: 0.627 | A@0.55: 0.525 | Score: 0.3007 | LR: 0.000500 | No-improve: 0/25
Epoch 027 | drop=0.30 | cls=1.2485 cons=0.0108 | Omega Rec: 0.671 | Anti Rec: 0.630 | A@0.55: 0.529 | Score: 0.3007 | LR: 0.000500 | No-improve: 0/25
Epoch 028 | drop=0.31 | cls=1.2478 cons=0.0110 | Omega Rec: 0.672 | Anti Rec: 0.630 | A@0.55: 0.530 | Score: 0.3025 | LR: 0.000500 | No-improve: 1/25
Epoch 029 | drop=0.32 | cls=1.2465 cons=0.0112 | Omega Rec: 0.673 | Anti Rec: 0.631 | A@0.55: 0.528 | Score: 0.3033 | LR: 0.000500 | No-improve: 0/25
Epoch 030 | drop=0.33 | cls=1.2462 cons=0.0115 | Omega Rec: 0.676 | Anti Rec: 0.628 | A@0.55: 0.525 | Score: 0.3038 | LR: 0.000500 | No-improve: 0/25
Epoch 031 | drop=0.33 | cls=1.2466 cons=0.0115 | Omega Rec: 0.676 | Anti Rec: 0.630 | A@0.55: 0.527 | Score: 0.3053 | LR: 0.000500 | No-improve: 0/25
