GRL Run 2 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
ADV_LAMBDA=0.1 | GRL_ALPHA_MAX=1.0 | warmup=30 epochs
OmegaTransformerGRL: 279,427 parameters
Starting GRL training...

Epoch 001 | α=0.033 | cls=1.3198 adv=2.1171 | Omega Rec: 0.759 | Anti Rec: 0.468 | A@0.55: 0.330 | Score: 0.2272 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | α=0.067 | cls=1.2928 adv=0.0833 | Omega Rec: 0.692 | Anti Rec: 0.571 | A@0.55: 0.456 | Score: 0.2624 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | α=0.100 | cls=1.2870 adv=0.0755 | Omega Rec: 0.690 | Anti Rec: 0.582 | A@0.55: 0.478 | Score: 0.2714 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | α=0.133 | cls=1.2810 adv=0.0723 | Omega Rec: 0.676 | Anti Rec: 0.599 | A@0.55: 0.504 | Score: 0.2748 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | α=0.167 | cls=1.2778 adv=0.0705 | Omega Rec: 0.663 | Anti Rec: 0.618 | A@0.55: 0.527 | Score: 0.2814 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | α=0.200 | cls=1.2743 adv=0.0696 | Omega Rec: 0.673 | Anti Rec: 0.611 | A@0.55: 0.520 | Score: 0.2838 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | α=0.233 | cls=1.2704 adv=0.0699 | Omega Rec: 0.673 | Anti Rec: 0.615 | A@0.55: 0.522 | Score: 0.2879 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | α=0.267 | cls=1.2673 adv=0.0706 | Omega Rec: 0.668 | Anti Rec: 0.622 | A@0.55: 0.529 | Score: 0.2895 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | α=0.300 | cls=1.2663 adv=0.0719 | Omega Rec: 0.664 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.2907 | LR: 0.000500 | No-improve: 0/25
Epoch 010 | α=0.333 | cls=1.2662 adv=0.0714 | Omega Rec: 0.666 | Anti Rec: 0.628 | A@0.55: 0.533 | Score: 0.2937 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | α=0.367 | cls=1.2650 adv=0.0730 | Omega Rec: 0.664 | Anti Rec: 0.628 | A@0.55: 0.532 | Score: 0.2922 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | α=0.400 | cls=1.2643 adv=0.0739 | Omega Rec: 0.655 | Anti Rec: 0.637 | A@0.55: 0.543 | Score: 0.2919 | LR: 0.000500 | No-improve: 1/25
Epoch 013 | α=0.433 | cls=1.2629 adv=0.0748 | Omega Rec: 0.662 | Anti Rec: 0.630 | A@0.55: 0.535 | Score: 0.2924 | LR: 0.000500 | No-improve: 2/25
