GRL Run 13 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=2.0 | GRL_N_BINS=5 (within-class) | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
Moment adversary: 6 targets (n_kaons + std of 5 features)
OmegaTransformerGRL: 283,791 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

Starting GRL training...

Epoch 001 | α=0.000 λ=0.0000 | cls=1.0248 adv_ce=1.6121/1.6094 adv_mse=1.0027 | O@A=0.90: 0.577 (t=0.18, A=0.900) | Argmax: O=0.946 A=0.408 Score=0.3541 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | α=0.000 λ=0.0000 | cls=0.9759 adv_ce=1.6094/1.6094 adv_mse=1.0005 | O@A=0.90: 0.611 (t=0.19, A=0.900) | Argmax: O=0.878 A=0.613 Score=0.4910 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | α=0.000 λ=0.0000 | cls=0.9638 adv_ce=1.6094/1.6094 adv_mse=0.9999 | O@A=0.90: 0.616 (t=0.20, A=0.900) | Argmax: O=0.853 A=0.669 Score=0.5213 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | α=0.000 λ=0.0000 | cls=0.9539 adv_ce=1.6094/1.6094 adv_mse=1.0004 | O@A=0.90: 0.619 (t=0.20, A=0.900) | Argmax: O=0.845 A=0.684 Score=0.5292 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | α=0.000 λ=0.0000 | cls=0.9497 adv_ce=1.6094/1.6094 adv_mse=1.0001 | O@A=0.90: 0.620 (t=0.21, A=0.900) | Argmax: O=0.841 A=0.692 Score=0.5330 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | α=0.000 λ=0.0000 | cls=0.9468 adv_ce=1.6094/1.6094 adv_mse=1.0002 | O@A=0.90: 0.623 (t=0.22, A=0.900) | Argmax: O=0.836 A=0.702 Score=0.5382 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | α=0.000 λ=0.0000 | cls=0.9438 adv_ce=1.6094/1.6094 adv_mse=1.0002 | O@A=0.90: 0.623 (t=0.22, A=0.900) | Argmax: O=0.837 A=0.704 Score=0.5402 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | α=0.000 λ=0.0000 | cls=0.9427 adv_ce=1.6094/1.6094 adv_mse=1.0001 | O@A=0.90: 0.626 (t=0.23, A=0.900) | Argmax: O=0.833 A=0.707 Score=0.5406 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | α=0.000 λ=0.0000 | cls=0.9407 adv_ce=1.6094/1.6094 adv_mse=1.0000 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.837 A=0.704 Score=0.5405 | LR: 0.000500 | No-improve: 0/25
Epoch 010 | α=0.000 λ=0.0000 | cls=0.9408 adv_ce=1.6094/1.6094 adv_mse=0.9999 | O@A=0.90: 0.629 (t=0.23, A=0.900) | Argmax: O=0.836 A=0.706 Score=0.5422 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | α=0.000 λ=0.0000 | cls=0.9374 adv_ce=1.6094/1.6094 adv_mse=0.9998 | O@A=0.90: 0.631 (t=0.23, A=0.900) | Argmax: O=0.837 A=0.705 Score=0.5420 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | α=0.000 λ=0.0000 | cls=0.9379 adv_ce=1.6094/1.6094 adv_mse=1.0002 | O@A=0.90: 0.630 (t=0.22, A=0.900) | Argmax: O=0.837 A=0.705 Score=0.5421 | LR: 0.000500 | No-improve: 0/25
Epoch 013 | α=0.000 λ=0.0000 | cls=0.9353 adv_ce=1.6094/1.6094 adv_mse=0.9999 | O@A=0.90: 0.630 (t=0.23, A=0.900) | Argmax: O=0.836 A=0.706 Score=0.5421 | LR: 0.000500 | No-improve: 0/25
Epoch 014 | α=0.000 λ=0.0000 | cls=0.9358 adv_ce=1.6094/1.6094 adv_mse=0.9998 | O@A=0.90: 0.630 (t=0.23, A=0.900) | Argmax: O=0.837 A=0.705 Score=0.5422 | LR: 0.000500 | No-improve: 0/25
Epoch 015 | α=0.000 λ=0.0000 | cls=0.9327 adv_ce=1.6094/1.6094 adv_mse=1.0000 | O@A=0.90: 0.630 (t=0.23, A=0.900) | Argmax: O=0.838 A=0.702 Score=0.5408 | LR: 0.000500 | No-improve: 0/25

[Epoch 16] GRL phase start — LR reset to 0.0005

Epoch 016 | α=0.027 λ=2.0000 | cls=0.9336 adv_ce=1.2941/1.6094 adv_mse=0.8745 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.840 A=0.702 Score=0.5413 | LR: 0.000500 | No-improve: 0/25
Epoch 017 | α=0.054 λ=2.0000 | cls=0.9423 adv_ce=1.2957/1.6094 adv_mse=0.8541 | O@A=0.90: 0.627 (t=0.22, A=0.900) | Argmax: O=0.841 A=0.698 Score=0.5385 | LR: 0.000500 | No-improve: 0/25
Epoch 018 | α=0.081 λ=2.0000 | cls=0.9535 adv_ce=1.3608/1.6094 adv_mse=0.8733 | O@A=0.90: 0.619 (t=0.21, A=0.900) | Argmax: O=0.838 A=0.700 Score=0.5380 | LR: 0.000500 | No-improve: 0/25
Epoch 019 | α=0.108 λ=2.0000 | cls=0.9627 adv_ce=1.3612/1.6094 adv_mse=0.8733 | O@A=0.90: 0.607 (t=0.19, A=0.900) | Argmax: O=0.836 A=0.701 Score=0.5374 | LR: 0.000500 | No-improve: 0/25
Epoch 020 | α=0.134 λ=2.0000 | cls=0.9657 adv_ce=1.3760/1.6094 adv_mse=0.8704 | O@A=0.90: 0.596 (t=0.19, A=0.900) | Argmax: O=0.824 A=0.710 Score=0.5346 | LR: 0.000500 | No-improve: 0/25
Epoch 021 | α=0.161 λ=2.0000 | cls=0.9793 adv_ce=1.4268/1.6094 adv_mse=0.8981 | O@A=0.90: 0.553 (t=0.14, A=0.900) | Argmax: O=0.804 A=0.718 Score=0.5215 | LR: 0.000500 | No-improve: 0/25
Epoch 022 | α=0.187 λ=2.0000 | cls=0.9815 adv_ce=1.4247/1.6094 adv_mse=0.8871 | O@A=0.90: 0.540 (t=0.19, A=0.900) | Argmax: O=0.800 A=0.722 Score=0.5219 | LR: 0.000500 | No-improve: 0/25
Epoch 023 | α=0.213 λ=2.0000 | cls=1.0021 adv_ce=1.5470/1.6094 adv_mse=0.9558 | O@A=0.90: 0.555 (t=0.10, A=0.900) | Argmax: O=0.845 A=0.655 Score=0.4999 | LR: 0.000500 | [CONSTRAINED] No-improve: 0/25
