GRL Run 3 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed', 'net_kaon'] | IN_CHANNELS=6 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=0.1 (dynamic ratio) | GRL_ALPHA_MAX=1.0 | sigmoidal schedule
OmegaTransformerGRL: 279,043 parameters
Starting GRL training...

Epoch 001 | α=0.025 λ_eff=2.6893 | cls=0.8591 adv=0.3338 | O@A=0.90: 0.454 (t=0.11, A=0.900) | Argmax: O=0.856 A=0.453 Score=0.3093 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | α=0.050 λ_eff=2.0528 | cls=0.7860 adv=0.1953 | O@A=0.90: 0.631 (t=0.27, A=0.900) | Argmax: O=0.838 A=0.718 Score=0.5565 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | α=0.075 λ_eff=4.6357 | cls=0.7656 adv=0.0188 | O@A=0.90: 0.677 (t=0.31, A=0.900) | Argmax: O=0.849 A=0.748 Score=0.5964 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | α=0.100 λ_eff=3.0538 | cls=0.7635 adv=0.0346 | O@A=0.90: 0.692 (t=0.30, A=0.900) | Argmax: O=0.861 A=0.748 Score=0.6086 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | α=0.124 λ_eff=2.5371 | cls=0.7559 adv=0.0326 | O@A=0.90: 0.700 (t=0.32, A=0.900) | Argmax: O=0.865 A=0.751 Score=0.6153 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | α=0.149 λ_eff=nan | cls=nan adv=0.0387 | O@A=0.90: 0.000 (t=0.01, A=0.000) | Argmax: O=1.000 A=0.000 Score=0.0000 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | α=0.173 λ_eff=nan | cls=nan adv=nan | O@A=0.90: 0.000 (t=0.01, A=0.000) | Argmax: O=1.000 A=0.000 Score=0.0000 | LR: 0.000500 | No-improve: 1/25
Epoch 008 | α=0.197 λ_eff=nan | cls=nan adv=nan | O@A=0.90: 0.000 (t=0.01, A=0.000) | Argmax: O=1.000 A=0.000 Score=0.0000 | LR: 0.000500 | No-improve: 2/25
Epoch 009 | α=0.221 λ_eff=nan | cls=nan adv=nan | O@A=0.90: 0.000 (t=0.01, A=0.000) | Argmax: O=1.000 A=0.000 Score=0.0000 | LR: 0.000500 | No-improve: 3/25
Epoch 010 | α=0.245 λ_eff=nan | cls=nan adv=nan | O@A=0.90: 0.000 (t=0.01, A=0.000) | Argmax: O=1.000 A=0.000 Score=0.0000 | LR: 0.000500 | No-improve: 4/25
Epoch 011 | α=0.268 λ_eff=nan | cls=nan adv=nan | O@A=0.90: 0.000 (t=0.01, A=0.000) | Argmax: O=1.000 A=0.000 Score=0.0000 | LR: 0.000250 | No-improve: 5/25
Epoch 012 | α=0.291 λ_eff=nan | cls=nan adv=nan | O@A=0.90: 0.000 (t=0.01, A=0.000) | Argmax: O=1.000 A=0.000 Score=0.0000 | LR: 0.000250 | No-improve: 6/25
