GRL Run 4 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=0.05 | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
OmegaTransformerGRL: 278,915 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

Starting GRL training...

Epoch 001 | α=0.000 λ=0.0000 | cls=1.0227 adv=7.2725 | O@A=0.90: 0.563 (t=0.15, A=0.900) | Argmax: O=0.965 A=0.327 Score=0.2915 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | α=0.000 λ=0.0000 | cls=0.9780 adv=7.3301 | O@A=0.90: 0.605 (t=0.15, A=0.901) | Argmax: O=0.913 A=0.532 Score=0.4449 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | α=0.000 λ=0.0000 | cls=0.9646 adv=7.3295 | O@A=0.90: 0.613 (t=0.18, A=0.900) | Argmax: O=0.871 A=0.635 Score=0.5063 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | α=0.000 λ=0.0000 | cls=0.9589 adv=7.3288 | O@A=0.90: 0.620 (t=0.19, A=0.900) | Argmax: O=0.859 A=0.662 Score=0.5218 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | α=0.000 λ=0.0000 | cls=0.9493 adv=7.3308 | O@A=0.90: 0.624 (t=0.21, A=0.900) | Argmax: O=0.848 A=0.685 Score=0.5332 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | α=0.000 λ=0.0000 | cls=0.9482 adv=7.3307 | O@A=0.90: 0.626 (t=0.21, A=0.900) | Argmax: O=0.846 A=0.691 Score=0.5369 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | α=0.000 λ=0.0000 | cls=0.9459 adv=7.3312 | O@A=0.90: 0.627 (t=0.21, A=0.900) | Argmax: O=0.845 A=0.692 Score=0.5368 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | α=0.000 λ=0.0000 | cls=nan adv=7.3317 | O@A=0.90: 0.626 (t=0.21, A=0.900) | Argmax: O=0.846 A=0.689 Score=0.5356 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | α=0.000 λ=0.0000 | cls=0.9405 adv=7.3299 | O@A=0.90: 0.627 (t=0.21, A=0.900) | Argmax: O=0.846 A=0.689 Score=0.5351 | LR: 0.000500 | No-improve: 1/25
Epoch 010 | α=0.000 λ=0.0000 | cls=0.9364 adv=7.3314 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.845 A=0.690 Score=0.5356 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | α=0.000 λ=0.0000 | cls=0.9367 adv=7.3308 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.846 A=0.690 Score=0.5354 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | α=0.000 λ=0.0000 | cls=0.9364 adv=7.3294 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.846 A=0.689 Score=0.5354 | LR: 0.000500 | No-improve: 1/25
Epoch 013 | α=0.000 λ=0.0000 | cls=0.9326 adv=7.3283 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.696 Score=0.5391 | LR: 0.000500 | No-improve: 2/25
Epoch 014 | α=0.000 λ=0.0000 | cls=0.9321 adv=7.3298 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.695 Score=0.5381 | LR: 0.000500 | No-improve: 3/25
Epoch 015 | α=0.000 λ=0.0000 | cls=0.9310 adv=7.3308 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.846 A=0.690 Score=0.5354 | LR: 0.000500 | No-improve: 4/25
Epoch 016 | α=0.027 λ=0.0500 | cls=0.9321 adv=0.3848 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.692 Score=0.5368 | LR: 0.000250 | No-improve: 5/25
Epoch 017 | α=0.054 λ=0.0500 | cls=0.9239 adv=0.0200 | O@A=0.90: 0.630 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.695 Score=0.5386 | LR: 0.000250 | No-improve: 6/25
Epoch 018 | α=0.081 λ=0.0500 | cls=0.9207 adv=0.0188 | O@A=0.90: 0.632 (t=0.22, A=0.900) | Argmax: O=0.842 A=0.698 Score=0.5394 | LR: 0.000250 | No-improve: 0/25
Epoch 019 | α=0.108 λ=0.0500 | cls=0.9223 adv=0.0190 | O@A=0.90: 0.632 (t=0.22, A=0.900) | Argmax: O=0.842 A=0.697 Score=0.5393 | LR: 0.000250 | No-improve: 0/25
Epoch 020 | α=0.134 λ=0.0500 | cls=nan adv=0.0193 | O@A=0.90: 0.633 (t=0.22, A=0.900) | Argmax: O=0.842 A=0.698 Score=0.5402 | LR: 0.000250 | No-improve: 1/25
Epoch 021 | α=0.161 λ=0.0500 | cls=0.9201 adv=0.0183 | O@A=0.90: 0.632 (t=0.22, A=0.900) | Argmax: O=0.842 A=0.699 Score=0.5409 | LR: 0.000250 | No-improve: 0/25
Epoch 022 | α=0.187 λ=0.0500 | cls=0.9206 adv=0.0190 | O@A=0.90: 0.632 (t=0.22, A=0.900) | Argmax: O=0.842 A=0.697 Score=0.5396 | LR: 0.000250 | No-improve: 1/25
Epoch 023 | α=0.213 λ=0.0500 | cls=0.9221 adv=0.0190 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.842 A=0.700 Score=0.5411 | LR: 0.000250 | No-improve: 2/25
Epoch 024 | α=0.239 λ=0.0500 | cls=0.9213 adv=0.0194 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.698 Score=0.5406 | LR: 0.000250 | No-improve: 3/25
Epoch 025 | α=0.264 λ=0.0500 | cls=0.9226 adv=0.0191 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.696 Score=0.5393 | LR: 0.000250 | No-improve: 4/25
Epoch 026 | α=0.289 λ=0.0500 | cls=0.9214 adv=0.0189 | O@A=0.90: 0.632 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.698 Score=0.5408 | LR: 0.000125 | No-improve: 5/25
Epoch 027 | α=0.313 λ=0.0500 | cls=0.9189 adv=0.0185 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.698 Score=0.5412 | LR: 0.000125 | No-improve: 6/25
Epoch 028 | α=0.338 λ=0.0500 | cls=0.9168 adv=0.0185 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.696 Score=0.5402 | LR: 0.000125 | No-improve: 7/25
Epoch 029 | α=0.361 λ=0.0500 | cls=0.9150 adv=0.0188 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.698 Score=0.5405 | LR: 0.000125 | No-improve: 8/25
Epoch 030 | α=0.385 λ=0.0500 | cls=nan adv=0.0191 | O@A=0.90: 0.632 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.697 Score=0.5401 | LR: 0.000125 | No-improve: 9/25
Epoch 031 | α=0.407 λ=0.0500 | cls=0.9174 adv=0.0191 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.696 Score=0.5400 | LR: 0.000125 | No-improve: 10/25
Epoch 032 | α=0.430 λ=0.0500 | cls=0.9167 adv=0.0191 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.845 A=0.695 Score=0.5405 | LR: 0.000063 | No-improve: 11/25
Epoch 033 | α=0.451 λ=0.0500 | cls=0.9145 adv=0.0192 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.697 Score=0.5408 | LR: 0.000063 | No-improve: 12/25
Epoch 034 | α=0.473 λ=0.0500 | cls=0.9130 adv=0.0191 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.845 A=0.694 Score=0.5395 | LR: 0.000063 | No-improve: 13/25
Epoch 035 | α=0.493 λ=0.0500 | cls=0.9136 adv=0.0194 | O@A=0.90: 0.630 (t=0.22, A=0.900) | Argmax: O=0.845 A=0.696 Score=0.5410 | LR: 0.000063 | No-improve: 14/25
Epoch 036 | α=0.514 λ=0.0500 | cls=0.9130 adv=0.0194 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.695 Score=0.5396 | LR: 0.000063 | No-improve: 15/25
Epoch 037 | α=0.533 λ=0.0500 | cls=0.9142 adv=0.0196 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.696 Score=0.5404 | LR: 0.000063 | No-improve: 16/25
Epoch 038 | α=0.552 λ=0.0500 | cls=0.9137 adv=0.0198 | O@A=0.90: 0.630 (t=0.22, A=0.900) | Argmax: O=0.845 A=0.695 Score=0.5396 | LR: 0.000031 | No-improve: 17/25
Epoch 039 | α=0.571 λ=0.0500 | cls=0.9117 adv=0.0199 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.845 A=0.695 Score=0.5400 | LR: 0.000031 | No-improve: 18/25
Epoch 040 | α=0.589 λ=0.0500 | cls=0.9126 adv=0.0197 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.697 Score=0.5413 | LR: 0.000031 | No-improve: 19/25
Epoch 041 | α=0.606 λ=0.0500 | cls=0.9119 adv=0.0199 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.846 A=0.694 Score=0.5394 | LR: 0.000031 | No-improve: 20/25
Epoch 042 | α=0.623 λ=0.0500 | cls=0.9114 adv=0.0201 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.846 A=0.694 Score=0.5397 | LR: 0.000031 | No-improve: 21/25
Epoch 043 | α=0.639 λ=0.0500 | cls=nan adv=0.0200 | O@A=0.90: 0.628 (t=0.21, A=0.900) | Argmax: O=0.846 A=0.695 Score=0.5403 | LR: 0.000031 | No-improve: 22/25
