GRL Run 8 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=2.0 | GRL_N_BINS=5 (within-class) | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
OmegaTransformerGRL: 279,047 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

── Baseline multiplicity debiasing check (random init) ──
Multiplicity debiasing probe: acc=0.3235 (chance=0.2000) → NOT debiased

Starting GRL training...

Epoch 001 | α=0.000 λ=0.0000 | cls=1.0178 adv=1.6098/1.6094 | O@A=0.90: 0.574 (t=0.16, A=0.901) | Argmax: O=0.962 A=0.342 Score=0.3045 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | α=0.000 λ=0.0000 | cls=0.9776 adv=1.6094/1.6094 | O@A=0.90: 0.609 (t=0.22, A=0.900) | Argmax: O=0.873 A=0.625 Score=0.4983 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | α=0.000 λ=0.0000 | cls=0.9643 adv=1.6094/1.6094 | O@A=0.90: 0.618 (t=0.22, A=0.900) | Argmax: O=0.845 A=0.683 Score=0.5280 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | α=0.000 λ=0.0000 | cls=0.9553 adv=1.6094/1.6094 | O@A=0.90: 0.622 (t=0.22, A=0.900) | Argmax: O=0.837 A=0.696 Score=0.5333 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | α=0.000 λ=0.0000 | cls=0.9501 adv=1.6094/1.6094 | O@A=0.90: 0.626 (t=0.22, A=0.900) | Argmax: O=0.836 A=0.704 Score=0.5396 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | α=0.000 λ=0.0000 | cls=0.9450 adv=1.6094/1.6094 | O@A=0.90: 0.625 (t=0.23, A=0.900) | Argmax: O=0.834 A=0.708 Score=0.5415 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | α=0.000 λ=0.0000 | cls=0.9444 adv=1.6094/1.6094 | O@A=0.90: 0.626 (t=0.23, A=0.900) | Argmax: O=0.836 A=0.705 Score=0.5403 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | α=0.000 λ=0.0000 | cls=0.9408 adv=1.6094/1.6094 | O@A=0.90: 0.625 (t=0.22, A=0.900) | Argmax: O=0.838 A=0.703 Score=0.5408 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | α=0.000 λ=0.0000 | cls=0.9380 adv=1.6094/1.6094 | O@A=0.90: 0.626 (t=0.22, A=0.900) | Argmax: O=0.838 A=0.703 Score=0.5409 | LR: 0.000500 | No-improve: 0/25
Epoch 010 | α=0.000 λ=0.0000 | cls=0.9363 adv=1.6094/1.6094 | O@A=0.90: 0.628 (t=0.23, A=0.900) | Argmax: O=0.837 A=0.704 Score=0.5405 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | α=0.000 λ=0.0000 | cls=0.9365 adv=1.6094/1.6094 | O@A=0.90: 0.627 (t=0.22, A=0.900) | Argmax: O=0.840 A=0.700 Score=0.5394 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | α=0.000 λ=0.0000 | cls=0.9358 adv=1.6094/1.6094 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.840 A=0.700 Score=0.5395 | LR: 0.000500 | No-improve: 0/25
Epoch 013 | α=0.000 λ=0.0000 | cls=0.9328 adv=1.6094/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.841 A=0.698 Score=0.5391 | LR: 0.000500 | No-improve: 0/25
