PL Run 1 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
EM_ITER=4 | GAMMA=1.5
OmegaTransformer: 275,010 parameters

============================================================
EM Iteration 1/4
Iter 1: uniform weights (standard BCE)
  [EM1] Ep 001 | Ω:0.769 A:0.456 A@.55:0.290 Score:0.2247 | LR:0.000500 | ni:0/25
  [EM1] Ep 002 | Ω:0.677 A:0.587 A@.55:0.477 Score:0.2636 | LR:0.000500 | ni:0/25
  [EM1] Ep 003 | Ω:0.658 A:0.615 A@.55:0.521 Score:0.2735 | LR:0.000500 | ni:0/25
  [EM1] Ep 004 | Ω:0.656 A:0.623 A@.55:0.528 Score:0.2795 | LR:0.000500 | ni:0/25
  [EM1] Ep 005 | Ω:0.663 A:0.622 A@.55:0.528 Score:0.2842 | LR:0.000500 | ni:0/25
  [EM1] Ep 006 | Ω:0.668 A:0.619 A@.55:0.523 Score:0.2866 | LR:0.000500 | ni:0/25
  [EM1] Ep 007 | Ω:0.675 A:0.617 A@.55:0.520 Score:0.2921 | LR:0.000500 | ni:0/25
  [EM1] Ep 008 | Ω:0.669 A:0.623 A@.55:0.531 Score:0.2924 | LR:0.000500 | ni:0/25
  [EM1] Ep 009 | Ω:0.667 A:0.627 A@.55:0.532 Score:0.2935 | LR:0.000500 | ni:0/25
  [EM1] Ep 010 | Ω:0.663 A:0.633 A@.55:0.539 Score:0.2962 | LR:0.000500 | ni:0/25
  [EM1] Ep 011 | Ω:0.659 A:0.637 A@.55:0.546 Score:0.2961 | LR:0.000500 | ni:0/25
  [EM1] Ep 012 | Ω:0.662 A:0.634 A@.55:0.539 Score:0.2959 | LR:0.000500 | ni:1/25
  [EM1] Ep 013 | Ω:0.655 A:0.642 A@.55:0.547 Score:0.2963 | LR:0.000500 | ni:2/25
  [EM1] Ep 014 | Ω:0.660 A:0.642 A@.55:0.545 Score:0.3020 | LR:0.000500 | ni:0/25
  [EM1] Ep 015 | Ω:0.662 A:0.639 A@.55:0.545 Score:0.3002 | LR:0.000500 | ni:0/25
  [EM1] Ep 016 | Ω:0.659 A:0.640 A@.55:0.547 Score:0.2988 | LR:0.000500 | ni:1/25
  [EM1] Ep 017 | Ω:0.659 A:0.641 A@.55:0.549 Score:0.2993 | LR:0.000500 | ni:2/25
  [EM1] Ep 018 | Ω:0.660 A:0.641 A@.55:0.544 Score:0.3008 | LR:0.000500 | ni:3/25
  [EM1] Ep 019 | Ω:0.661 A:0.644 A@.55:0.546 Score:0.3046 | LR:0.000500 | ni:4/25
  [EM1] Ep 020 | Ω:0.662 A:0.644 A@.55:0.546 Score:0.3066 | LR:0.000500 | ni:0/25
  [EM1] Ep 021 | Ω:0.661 A:0.643 A@.55:0.545 Score:0.3045 | LR:0.000500 | ni:0/25
  [EM1] Ep 022 | Ω:0.662 A:0.644 A@.55:0.547 Score:0.3060 | LR:0.000500 | ni:1/25
  [EM1] Ep 023 | Ω:0.660 A:0.644 A@.55:0.546 Score:0.3043 | LR:0.000500 | ni:2/25
  [EM1] Ep 024 | Ω:0.660 A:0.645 A@.55:0.548 Score:0.3049 | LR:0.000500 | ni:3/25
  [EM1] Ep 025 | Ω:0.659 A:0.645 A@.55:0.551 Score:0.3047 | LR:0.000500 | ni:4/25
  [EM1] Ep 026 | Ω:0.660 A:0.645 A@.55:0.549 Score:0.3051 | LR:0.000250 | ni:5/25
  [EM1] Ep 027 | Ω:0.662 A:0.644 A@.55:0.549 Score:0.3056 | LR:0.000250 | ni:6/25
  [EM1] Ep 028 | Ω:0.663 A:0.641 A@.55:0.548 Score:0.3045 | LR:0.000250 | ni:7/25
  [EM1] Ep 029 | Ω:0.666 A:0.641 A@.55:0.547 Score:0.3067 | LR:0.000250 | ni:8/25
  [EM1] Ep 030 | Ω:0.665 A:0.644 A@.55:0.549 Score:0.3085 | LR:0.000250 | ni:0/25
  [EM1] Ep 031 | Ω:0.665 A:0.643 A@.55:0.548 Score:0.3082 | LR:0.000250 | ni:0/25
  [EM1] Ep 032 | Ω:0.667 A:0.641 A@.55:0.548 Score:0.3084 | LR:0.000250 | ni:1/25
  [EM1] Ep 033 | Ω:0.667 A:0.642 A@.55:0.545 Score:0.3088 | LR:0.000250 | ni:2/25
  [EM1] Ep 034 | Ω:0.668 A:0.641 A@.55:0.547 Score:0.3082 | LR:0.000250 | ni:0/25
  [EM1] Ep 035 | Ω:0.669 A:0.638 A@.55:0.545 Score:0.3076 | LR:0.000250 | ni:1/25
  [EM1] Ep 036 | Ω:0.670 A:0.638 A@.55:0.544 Score:0.3081 | LR:0.000250 | ni:2/25
  [EM1] Ep 037 | Ω:0.670 A:0.638 A@.55:0.546 Score:0.3081 | LR:0.000250 | ni:3/25
  [EM1] Ep 038 | Ω:0.670 A:0.640 A@.55:0.545 Score:0.3104 | LR:0.000250 | ni:4/25
  [EM1] Ep 039 | Ω:0.671 A:0.638 A@.55:0.543 Score:0.3089 | LR:0.000250 | ni:0/25
  [EM1] Ep 040 | Ω:0.670 A:0.639 A@.55:0.544 Score:0.3090 | LR:0.000250 | ni:1/25
  [EM1] Ep 041 | Ω:0.673 A:0.636 A@.55:0.541 Score:0.3091 | LR:0.000250 | ni:2/25
  [EM1] Ep 042 | Ω:0.675 A:0.634 A@.55:0.541 Score:0.3090 | LR:0.000250 | ni:3/25
  [EM1] Ep 043 | Ω:0.677 A:0.633 A@.55:0.539 Score:0.3092 | LR:0.000250 | ni:4/25
  [EM1] Ep 044 | Ω:0.675 A:0.634 A@.55:0.540 Score:0.3091 | LR:0.000125 | ni:5/25
  [EM1] Ep 045 | Ω:0.674 A:0.635 A@.55:0.541 Score:0.3093 | LR:0.000125 | ni:6/25
  [EM1] Ep 046 | Ω:0.675 A:0.634 A@.55:0.540 Score:0.3091 | LR:0.000125 | ni:7/25
  [EM1] Ep 047 | Ω:0.673 A:0.635 A@.55:0.542 Score:0.3079 | LR:0.000125 | ni:8/25
  [EM1] Ep 048 | Ω:0.673 A:0.636 A@.55:0.542 Score:0.3095 | LR:0.000125 | ni:9/25
  [EM1] Ep 049 | Ω:0.673 A:0.636 A@.55:0.543 Score:0.3089 | LR:0.000125 | ni:10/25
  [EM1] Ep 050 | Ω:0.675 A:0.635 A@.55:0.538 Score:0.3097 | LR:0.000063 | ni:11/25
  [EM1] Ep 051 | Ω:0.675 A:0.634 A@.55:0.537 Score:0.3086 | LR:0.000063 | ni:12/25
  [EM1] Ep 052 | Ω:0.674 A:0.635 A@.55:0.541 Score:0.3090 | LR:0.000063 | ni:13/25
  [EM1] Ep 053 | Ω:0.675 A:0.635 A@.55:0.542 Score:0.3102 | LR:0.000063 | ni:14/25
  [EM1] Ep 054 | Ω:0.676 A:0.636 A@.55:0.542 Score:0.3117 | LR:0.000063 | ni:15/25
  [EM1] Ep 055 | Ω:0.677 A:0.635 A@.55:0.540 Score:0.3124 | LR:0.000063 | ni:0/25
  [EM1] Ep 056 | Ω:0.675 A:0.636 A@.55:0.541 Score:0.3110 | LR:0.000063 | ni:0/25
  [EM1] Ep 057 | Ω:0.678 A:0.634 A@.55:0.538 Score:0.3122 | LR:0.000063 | ni:1/25
