Run 11 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star'] | IN_CHANNELS=5 | D_MODEL=128
Dataset: 103751 Omega, 50081 Anti-Omega
Loss: per-class-mean BCE, anti_weight=2.0, label_smooth_eps=0.05
EMA decay: 0.999
Model parameters: 274,498
Starting training...

Epoch 001 | Omega Rec: 0.143 | Anti Rec: 0.946 | A@0.55: 0.843 | Score: 0.0888 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | Omega Rec: 0.216 | Anti Rec: 0.917 | A@0.55: 0.835 | Score: 0.1332 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | Omega Rec: 0.272 | Anti Rec: 0.897 | A@0.55: 0.815 | Score: 0.1692 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | Omega Rec: 0.275 | Anti Rec: 0.899 | A@0.55: 0.823 | Score: 0.1738 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | Omega Rec: 0.280 | Anti Rec: 0.900 | A@0.55: 0.826 | Score: 0.1796 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | Omega Rec: 0.283 | Anti Rec: 0.901 | A@0.55: 0.829 | Score: 0.1837 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | Omega Rec: 0.293 | Anti Rec: 0.897 | A@0.55: 0.826 | Score: 0.1902 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | Omega Rec: 0.294 | Anti Rec: 0.898 | A@0.55: 0.825 | Score: 0.1916 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | Omega Rec: 0.290 | Anti Rec: 0.899 | A@0.55: 0.830 | Score: 0.1898 | LR: 0.000500 | No-improve: 0/25
Epoch 010 | Omega Rec: 0.288 | Anti Rec: 0.902 | A@0.55: 0.832 | Score: 0.1901 | LR: 0.000500 | No-improve: 1/25
Epoch 011 | Omega Rec: 0.290 | Anti Rec: 0.899 | A@0.55: 0.830 | Score: 0.1896 | LR: 0.000500 | No-improve: 2/25
Epoch 012 | Omega Rec: 0.289 | Anti Rec: 0.901 | A@0.55: 0.832 | Score: 0.1894 | LR: 0.000500 | No-improve: 3/25
Epoch 013 | Omega Rec: 0.287 | Anti Rec: 0.902 | A@0.55: 0.834 | Score: 0.1883 | LR: 0.000500 | No-improve: 4/25
Epoch 014 | Omega Rec: 0.283 | Anti Rec: 0.905 | A@0.55: 0.837 | Score: 0.1882 | LR: 0.000250 | No-improve: 5/25
Epoch 015 | Omega Rec: 0.292 | Anti Rec: 0.903 | A@0.55: 0.834 | Score: 0.1943 | LR: 0.000250 | No-improve: 6/25
Epoch 016 | Omega Rec: 0.299 | Anti Rec: 0.899 | A@0.55: 0.832 | Score: 0.1980 | LR: 0.000250 | No-improve: 0/25
Epoch 017 | Omega Rec: 0.301 | Anti Rec: 0.898 | A@0.55: 0.832 | Score: 0.1986 | LR: 0.000250 | No-improve: 0/25
