Run 18 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9 | D_MODEL=128
Dataset: 110758 Omega, 52934 Anti-Omega
Loss: per-class-mean BCE
EMA decay: 0.999
Model parameters: 275,010
Starting training...

Epoch 001 | Omega Rec: 0.769 | Anti Rec: 0.456 | A@0.55: 0.290 | Score: 0.2247 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | Omega Rec: 0.677 | Anti Rec: 0.587 | A@0.55: 0.477 | Score: 0.2636 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | Omega Rec: 0.658 | Anti Rec: 0.615 | A@0.55: 0.521 | Score: 0.2735 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | Omega Rec: 0.656 | Anti Rec: 0.623 | A@0.55: 0.528 | Score: 0.2795 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | Omega Rec: 0.663 | Anti Rec: 0.622 | A@0.55: 0.528 | Score: 0.2842 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | Omega Rec: 0.668 | Anti Rec: 0.619 | A@0.55: 0.523 | Score: 0.2866 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | Omega Rec: 0.675 | Anti Rec: 0.617 | A@0.55: 0.520 | Score: 0.2921 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | Omega Rec: 0.669 | Anti Rec: 0.623 | A@0.55: 0.531 | Score: 0.2924 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | Omega Rec: 0.667 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.2935 | LR: 0.000500 | No-improve: 0/25
Epoch 010 | Omega Rec: 0.663 | Anti Rec: 0.633 | A@0.55: 0.539 | Score: 0.2962 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | Omega Rec: 0.659 | Anti Rec: 0.637 | A@0.55: 0.546 | Score: 0.2961 | LR: 0.000500 | No-improve: 0/25
