Run 20 | features=['k_star', 'cos_theta_star'] | IN_CHANNELS=2 | D_MODEL=128
Dataset: 110758 Omega, 52934 Anti-Omega
Loss: per-class-mean BCE
EMA decay: 0.999
Model parameters: 274,114
Starting training...

Epoch 001 | Omega Rec: 0.755 | Anti Rec: 0.332 | A@0.55: 0.025 | Score: 0.0873 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | Omega Rec: 0.577 | Anti Rec: 0.545 | A@0.55: 0.257 | Score: 0.1219 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | Omega Rec: 0.525 | Anti Rec: 0.612 | A@0.55: 0.374 | Score: 0.1367 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | Omega Rec: 0.531 | Anti Rec: 0.609 | A@0.55: 0.391 | Score: 0.1395 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | Omega Rec: 0.546 | Anti Rec: 0.598 | A@0.55: 0.389 | Score: 0.1435 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | Omega Rec: 0.538 | Anti Rec: 0.605 | A@0.55: 0.401 | Score: 0.1428 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | Omega Rec: 0.548 | Anti Rec: 0.597 | A@0.55: 0.398 | Score: 0.1451 | LR: 0.000500 | No-improve: 1/25
Epoch 008 | Omega Rec: 0.551 | Anti Rec: 0.592 | A@0.55: 0.398 | Score: 0.1428 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | Omega Rec: 0.545 | Anti Rec: 0.602 | A@0.55: 0.405 | Score: 0.1473 | LR: 0.000500 | No-improve: 1/25
Epoch 010 | Omega Rec: 0.557 | Anti Rec: 0.593 | A@0.55: 0.397 | Score: 0.1499 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | Omega Rec: 0.554 | Anti Rec: 0.598 | A@0.55: 0.406 | Score: 0.1526 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | Omega Rec: 0.551 | Anti Rec: 0.599 | A@0.55: 0.409 | Score: 0.1501 | LR: 0.000500 | No-improve: 0/25
Epoch 013 | Omega Rec: 0.558 | Anti Rec: 0.593 | A@0.55: 0.405 | Score: 0.1515 | LR: 0.000500 | No-improve: 1/25
Epoch 014 | Omega Rec: 0.557 | Anti Rec: 0.594 | A@0.55: 0.410 | Score: 0.1510 | LR: 0.000500 | No-improve: 2/25
Epoch 015 | Omega Rec: 0.551 | Anti Rec: 0.599 | A@0.55: 0.417 | Score: 0.1500 | LR: 0.000500 | No-improve: 3/25
Epoch 016 | Omega Rec: 0.547 | Anti Rec: 0.602 | A@0.55: 0.419 | Score: 0.1493 | LR: 0.000500 | No-improve: 4/25
Epoch 017 | Omega Rec: 0.541 | Anti Rec: 0.612 | A@0.55: 0.425 | Score: 0.1527 | LR: 0.000500 | No-improve: 5/25
Epoch 018 | Omega Rec: 0.536 | Anti Rec: 0.615 | A@0.55: 0.432 | Score: 0.1514 | LR: 0.000500 | No-improve: 0/25
Epoch 019 | Omega Rec: 0.544 | Anti Rec: 0.606 | A@0.55: 0.424 | Score: 0.1498 | LR: 0.000500 | No-improve: 1/25
Epoch 020 | Omega Rec: 0.541 | Anti Rec: 0.609 | A@0.55: 0.429 | Score: 0.1504 | LR: 0.000500 | No-improve: 2/25
Epoch 021 | Omega Rec: 0.542 | Anti Rec: 0.608 | A@0.55: 0.429 | Score: 0.1503 | LR: 0.000500 | No-improve: 3/25
