Run 25 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed', 'o_y_abs'] | IN_CHANNELS=7 | D_MODEL=128
Dataset: 110758 Omega, 52934 Anti-Omega
Loss: per-class-mean BCE | target Anti recall: 0.90
EMA decay: 0.999
Model parameters: 274,754
Starting training...

Epoch 001 | O@A=0.90: 0.259 (t=0.37, A=0.900) | Argmax: O=0.695 A=0.577 Score=0.2728 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | O@A=0.90: 0.289 (t=0.33, A=0.900) | Argmax: O=0.706 A=0.588 Score=0.2945 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | O@A=0.90: 0.300 (t=0.32, A=0.900) | Argmax: O=0.685 A=0.621 Score=0.3059 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | O@A=0.90: 0.312 (t=0.33, A=0.900) | Argmax: O=0.679 A=0.636 Score=0.3152 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | O@A=0.90: 0.313 (t=0.33, A=0.900) | Argmax: O=0.674 A=0.646 Score=0.3197 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | O@A=0.90: 0.318 (t=0.33, A=0.900) | Argmax: O=0.673 A=0.649 Score=0.3226 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | O@A=0.90: 0.320 (t=0.33, A=0.900) | Argmax: O=0.673 A=0.652 Score=0.3251 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | O@A=0.90: 0.319 (t=0.33, A=0.900) | Argmax: O=0.670 A=0.654 Score=0.3242 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | O@A=0.90: 0.318 (t=0.33, A=0.900) | Argmax: O=0.675 A=0.651 Score=0.3268 | LR: 0.000500 | No-improve: 1/25
Epoch 010 | O@A=0.90: 0.324 (t=0.33, A=0.900) | Argmax: O=0.679 A=0.649 Score=0.3285 | LR: 0.000500 | No-improve: 2/25
Epoch 011 | O@A=0.90: 0.322 (t=0.33, A=0.900) | Argmax: O=0.676 A=0.655 Score=0.3305 | LR: 0.000500 | No-improve: 0/25
