Run 27 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | D_MODEL=128
Dataset: 110758 Omega, 52934 Anti-Omega
Loss: per-class-mean BCE | target Anti recall: 0.90
EMA decay: 0.999
Model parameters: 274,498
Starting training...

Epoch 001 | O@A=0.90: 0.227 (t=0.37, A=0.900) | Argmax: O=0.729 A=0.514 Score=0.2436 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | O@A=0.90: 0.250 (t=0.36, A=0.900) | Argmax: O=0.642 A=0.628 Score=0.2697 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | O@A=0.90: 0.272 (t=0.35, A=0.900) | Argmax: O=0.635 A=0.648 Score=0.2823 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | O@A=0.90: 0.283 (t=0.35, A=0.900) | Argmax: O=0.643 A=0.649 Score=0.2920 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | O@A=0.90: 0.289 (t=0.34, A=0.900) | Argmax: O=0.654 A=0.643 Score=0.2970 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | O@A=0.90: 0.294 (t=0.34, A=0.900) | Argmax: O=0.653 A=0.648 Score=0.3007 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | O@A=0.90: 0.293 (t=0.34, A=0.900) | Argmax: O=0.651 A=0.652 Score=0.3023 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | O@A=0.90: 0.297 (t=0.34, A=0.899) | Argmax: O=0.653 A=0.653 Score=0.3059 | LR: 0.000500 | No-improve: 1/25
Epoch 009 | O@A=0.90: 0.293 (t=0.34, A=0.900) | Argmax: O=0.661 A=0.649 Score=0.3098 | LR: 0.000500 | No-improve: 0/25
Epoch 010 | O@A=0.90: 0.298 (t=0.34, A=0.901) | Argmax: O=0.658 A=0.651 Score=0.3093 | LR: 0.000500 | No-improve: 1/25
Epoch 011 | O@A=0.90: 0.304 (t=0.34, A=0.900) | Argmax: O=0.652 A=0.657 Score=0.3096 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | O@A=0.90: 0.305 (t=0.34, A=0.900) | Argmax: O=0.658 A=0.651 Score=0.3089 | LR: 0.000500 | No-improve: 0/25
Epoch 013 | O@A=0.90: 0.303 (t=0.34, A=0.900) | Argmax: O=0.659 A=0.651 Score=0.3096 | LR: 0.000500 | No-improve: 0/25
Epoch 014 | O@A=0.90: 0.307 (t=0.34, A=0.900) | Argmax: O=0.653 A=0.657 Score=0.3097 | LR: 0.000500 | No-improve: 1/25
Epoch 015 | O@A=0.90: 0.309 (t=0.34, A=0.900) | Argmax: O=0.656 A=0.655 Score=0.3103 | LR: 0.000500 | No-improve: 0/25
Epoch 016 | O@A=0.90: 0.309 (t=0.34, A=0.899) | Argmax: O=0.658 A=0.653 Score=0.3114 | LR: 0.000500 | No-improve: 0/25
Epoch 017 | O@A=0.90: 0.309 (t=0.34, A=0.900) | Argmax: O=0.656 A=0.656 Score=0.3125 | LR: 0.000500 | No-improve: 1/25
Epoch 018 | O@A=0.90: 0.308 (t=0.34, A=0.900) | Argmax: O=0.653 A=0.661 Score=0.3146 | LR: 0.000500 | No-improve: 0/25
Epoch 019 | O@A=0.90: 0.310 (t=0.34, A=0.900) | Argmax: O=0.652 A=0.661 Score=0.3131 | LR: 0.000500 | No-improve: 1/25
Epoch 020 | O@A=0.90: 0.311 (t=0.34, A=0.900) | Argmax: O=0.658 A=0.656 Score=0.3147 | LR: 0.000500 | No-improve: 0/25
Epoch 021 | O@A=0.90: 0.310 (t=0.34, A=0.900) | Argmax: O=0.662 A=0.650 Score=0.3118 | LR: 0.000500 | No-improve: 0/25
Epoch 022 | O@A=0.90: 0.312 (t=0.34, A=0.900) | Argmax: O=0.662 A=0.653 Score=0.3143 | LR: 0.000500 | No-improve: 1/25
Epoch 023 | O@A=0.90: 0.309 (t=0.34, A=0.900) | Argmax: O=0.658 A=0.654 Score=0.3125 | LR: 0.000500 | No-improve: 0/25
Epoch 024 | O@A=0.90: 0.312 (t=0.34, A=0.900) | Argmax: O=0.665 A=0.648 Score=0.3133 | LR: 0.000500 | No-improve: 1/25
Epoch 025 | O@A=0.90: 0.311 (t=0.34, A=0.900) | Argmax: O=0.665 A=0.647 Score=0.3122 | LR: 0.000500 | No-improve: 2/25
Epoch 026 | O@A=0.90: 0.311 (t=0.34, A=0.900) | Argmax: O=0.664 A=0.650 Score=0.3135 | LR: 0.000500 | No-improve: 3/25
Epoch 027 | O@A=0.90: 0.310 (t=0.34, A=0.900) | Argmax: O=0.664 A=0.650 Score=0.3140 | LR: 0.000500 | No-improve: 4/25
Epoch 028 | O@A=0.90: 0.310 (t=0.34, A=0.900) | Argmax: O=0.663 A=0.652 Score=0.3151 | LR: 0.000250 | No-improve: 5/25
Epoch 029 | O@A=0.90: 0.311 (t=0.33, A=0.900) | Argmax: O=0.664 A=0.652 Score=0.3155 | LR: 0.000250 | No-improve: 6/25
Epoch 030 | O@A=0.90: 0.308 (t=0.33, A=0.900) | Argmax: O=0.665 A=0.649 Score=0.3143 | LR: 0.000250 | No-improve: 7/25
Epoch 031 | O@A=0.90: 0.311 (t=0.33, A=0.900) | Argmax: O=0.666 A=0.648 Score=0.3143 | LR: 0.000250 | No-improve: 8/25
Epoch 032 | O@A=0.90: 0.313 (t=0.33, A=0.900) | Argmax: O=0.668 A=0.647 Score=0.3150 | LR: 0.000250 | No-improve: 9/25
Epoch 033 | O@A=0.90: 0.310 (t=0.33, A=0.901) | Argmax: O=0.670 A=0.644 Score=0.3144 | LR: 0.000250 | No-improve: 0/25
Epoch 034 | O@A=0.90: 0.311 (t=0.33, A=0.901) | Argmax: O=0.666 A=0.651 Score=0.3174 | LR: 0.000250 | No-improve: 1/25
Epoch 035 | O@A=0.90: 0.311 (t=0.33, A=0.900) | Argmax: O=0.668 A=0.649 Score=0.3171 | LR: 0.000250 | No-improve: 2/25
Epoch 036 | O@A=0.90: 0.309 (t=0.33, A=0.900) | Argmax: O=0.670 A=0.647 Score=0.3170 | LR: 0.000250 | No-improve: 3/25
Epoch 037 | O@A=0.90: 0.310 (t=0.33, A=0.900) | Argmax: O=0.666 A=0.649 Score=0.3152 | LR: 0.000250 | No-improve: 4/25
Epoch 038 | O@A=0.90: 0.313 (t=0.33, A=0.900) | Argmax: O=0.668 A=0.649 Score=0.3174 | LR: 0.000125 | No-improve: 5/25
Epoch 039 | O@A=0.90: 0.314 (t=0.33, A=0.900) | Argmax: O=0.669 A=0.647 Score=0.3158 | LR: 0.000125 | No-improve: 6/25
Epoch 040 | O@A=0.90: 0.312 (t=0.32, A=0.900) | Argmax: O=0.670 A=0.648 Score=0.3178 | LR: 0.000125 | No-improve: 0/25
Epoch 041 | O@A=0.90: 0.314 (t=0.32, A=0.901) | Argmax: O=0.675 A=0.644 Score=0.3185 | LR: 0.000125 | No-improve: 1/25
Epoch 042 | O@A=0.90: 0.314 (t=0.32, A=0.900) | Argmax: O=0.677 A=0.642 Score=0.3192 | LR: 0.000125 | No-improve: 0/25
Epoch 043 | O@A=0.90: 0.314 (t=0.32, A=0.900) | Argmax: O=0.674 A=0.643 Score=0.3176 | LR: 0.000125 | No-improve: 0/25
Epoch 044 | O@A=0.90: 0.314 (t=0.32, A=0.900) | Argmax: O=0.672 A=0.646 Score=0.3179 | LR: 0.000125 | No-improve: 1/25
Epoch 045 | O@A=0.90: 0.312 (t=0.32, A=0.900) | Argmax: O=0.674 A=0.646 Score=0.3195 | LR: 0.000125 | No-improve: 2/25
Epoch 046 | O@A=0.90: 0.312 (t=0.32, A=0.900) | Argmax: O=0.673 A=0.646 Score=0.3188 | LR: 0.000125 | No-improve: 3/25
Epoch 047 | O@A=0.90: 0.311 (t=0.32, A=0.900) | Argmax: O=0.673 A=0.645 Score=0.3182 | LR: 0.000125 | No-improve: 4/25
Epoch 048 | O@A=0.90: 0.315 (t=0.32, A=0.900) | Argmax: O=0.672 A=0.644 Score=0.3164 | LR: 0.000125 | No-improve: 5/25
Epoch 049 | O@A=0.90: 0.313 (t=0.32, A=0.900) | Argmax: O=0.673 A=0.644 Score=0.3175 | LR: 0.000125 | No-improve: 0/25
Epoch 050 | O@A=0.90: 0.313 (t=0.32, A=0.900) | Argmax: O=0.673 A=0.645 Score=0.3181 | LR: 0.000125 | No-improve: 1/25
Epoch 051 | O@A=0.90: 0.316 (t=0.32, A=0.899) | Argmax: O=0.673 A=0.644 Score=0.3169 | LR: 0.000125 | No-improve: 2/25
Epoch 052 | O@A=0.90: 0.313 (t=0.32, A=0.900) | Argmax: O=0.676 A=0.641 Score=0.3166 | LR: 0.000125 | No-improve: 0/25
Epoch 053 | O@A=0.90: 0.312 (t=0.32, A=0.900) | Argmax: O=0.674 A=0.644 Score=0.3180 | LR: 0.000125 | No-improve: 1/25
Epoch 054 | O@A=0.90: 0.313 (t=0.32, A=0.900) | Argmax: O=0.675 A=0.645 Score=0.3197 | LR: 0.000125 | No-improve: 2/25
Epoch 055 | O@A=0.90: 0.313 (t=0.32, A=0.900) | Argmax: O=0.674 A=0.643 Score=0.3177 | LR: 0.000125 | No-improve: 3/25
Epoch 056 | O@A=0.90: 0.313 (t=0.32, A=0.901) | Argmax: O=0.676 A=0.642 Score=0.3182 | LR: 0.000125 | No-improve: 4/25
Epoch 057 | O@A=0.90: 0.312 (t=0.32, A=0.900) | Argmax: O=0.675 A=0.642 Score=0.3163 | LR: 0.000063 | No-improve: 5/25
Epoch 058 | O@A=0.90: 0.313 (t=0.32, A=0.900) | Argmax: O=0.673 A=0.644 Score=0.3174 | LR: 0.000063 | No-improve: 6/25
Epoch 059 | O@A=0.90: 0.314 (t=0.32, A=0.900) | Argmax: O=0.674 A=0.644 Score=0.3177 | LR: 0.000063 | No-improve: 7/25
Epoch 060 | O@A=0.90: 0.314 (t=0.32, A=0.900) | Argmax: O=0.672 A=0.645 Score=0.3174 | LR: 0.000063 | No-improve: 8/25
Epoch 061 | O@A=0.90: 0.314 (t=0.32, A=0.900) | Argmax: O=0.672 A=0.647 Score=0.3190 | LR: 0.000063 | No-improve: 9/25
Epoch 062 | O@A=0.90: 0.312 (t=0.32, A=0.900) | Argmax: O=0.673 A=0.645 Score=0.3184 | LR: 0.000063 | No-improve: 10/25
Epoch 063 | O@A=0.90: 0.310 (t=0.31, A=0.900) | Argmax: O=0.676 A=0.642 Score=0.3179 | LR: 0.000031 | No-improve: 11/25
Epoch 064 | O@A=0.90: 0.311 (t=0.31, A=0.900) | Argmax: O=0.676 A=0.642 Score=0.3177 | LR: 0.000031 | No-improve: 12/25
Epoch 065 | O@A=0.90: 0.310 (t=0.31, A=0.900) | Argmax: O=0.675 A=0.643 Score=0.3187 | LR: 0.000031 | No-improve: 13/25
Epoch 066 | O@A=0.90: 0.311 (t=0.31, A=0.900) | Argmax: O=0.675 A=0.643 Score=0.3183 | LR: 0.000031 | No-improve: 14/25
Epoch 067 | O@A=0.90: 0.310 (t=0.31, A=0.900) | Argmax: O=0.674 A=0.643 Score=0.3167 | LR: 0.000031 | No-improve: 15/25
Epoch 068 | O@A=0.90: 0.311 (t=0.31, A=0.900) | Argmax: O=0.676 A=0.642 Score=0.3179 | LR: 0.000031 | No-improve: 16/25
Epoch 069 | O@A=0.90: 0.311 (t=0.31, A=0.900) | Argmax: O=0.677 A=0.641 Score=0.3178 | LR: 0.000016 | No-improve: 17/25
Epoch 070 | O@A=0.90: 0.311 (t=0.31, A=0.901) | Argmax: O=0.677 A=0.641 Score=0.3178 | LR: 0.000016 | No-improve: 18/25
Epoch 071 | O@A=0.90: 0.310 (t=0.31, A=0.900) | Argmax: O=0.677 A=0.641 Score=0.3180 | LR: 0.000016 | No-improve: 19/25
Epoch 072 | O@A=0.90: 0.313 (t=0.31, A=0.900) | Argmax: O=0.677 A=0.640 Score=0.3175 | LR: 0.000016 | No-improve: 20/25
Epoch 073 | O@A=0.90: 0.312 (t=0.31, A=0.900) | Argmax: O=0.676 A=0.641 Score=0.3170 | LR: 0.000016 | No-improve: 21/25
Epoch 074 | O@A=0.90: 0.311 (t=0.31, A=0.900) | Argmax: O=0.676 A=0.641 Score=0.3176 | LR: 0.000016 | No-improve: 22/25
Epoch 075 | O@A=0.90: 0.312 (t=0.31, A=0.900) | Argmax: O=0.677 A=0.640 Score=0.3170 | LR: 0.000008 | No-improve: 23/25
Epoch 076 | O@A=0.90: 0.311 (t=0.31, A=0.900) | Argmax: O=0.676 A=0.641 Score=0.3167 | LR: 0.000008 | No-improve: 24/25

Early stopping: no improvement for 25 epochs.

Best Omega recall @ Anti=0.90: 0.3162  →  saved to models/omega_transformer.pth
Log saved to logs/train_run27.log
