Run 9 | IN_CHANNELS=6 | D_MODEL=128
Dataset: 103751 Omega, 50081 Anti-Omega
Loss: per-class-mean BCE, anti_weight=2.0, label_smooth_eps=0.05
EMA decay: 0.999
Model parameters: 274,626
Starting training...

Epoch 001 | Omega Rec: 0.140 | Anti Rec: 0.948 | A@0.55: 0.855 | Score: 0.0882 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | Omega Rec: 0.228 | Anti Rec: 0.912 | A@0.55: 0.830 | Score: 0.1402 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | Omega Rec: 0.257 | Anti Rec: 0.902 | A@0.55: 0.822 | Score: 0.1588 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | Omega Rec: 0.259 | Anti Rec: 0.903 | A@0.55: 0.824 | Score: 0.1615 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | Omega Rec: 0.257 | Anti Rec: 0.905 | A@0.55: 0.829 | Score: 0.1626 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | Omega Rec: 0.264 | Anti Rec: 0.905 | A@0.55: 0.828 | Score: 0.1682 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | Omega Rec: 0.274 | Anti Rec: 0.903 | A@0.55: 0.826 | Score: 0.1769 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | Omega Rec: 0.275 | Anti Rec: 0.901 | A@0.55: 0.827 | Score: 0.1752 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | Omega Rec: 0.281 | Anti Rec: 0.899 | A@0.55: 0.822 | Score: 0.1801 | LR: 0.000500 | No-improve: 1/25
Epoch 010 | Omega Rec: 0.285 | Anti Rec: 0.898 | A@0.55: 0.821 | Score: 0.1834 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | Omega Rec: 0.292 | Anti Rec: 0.896 | A@0.55: 0.819 | Score: 0.1882 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | Omega Rec: 0.294 | Anti Rec: 0.896 | A@0.55: 0.821 | Score: 0.1900 | LR: 0.000500 | No-improve: 0/25
Epoch 013 | Omega Rec: 0.292 | Anti Rec: 0.896 | A@0.55: 0.821 | Score: 0.1881 | LR: 0.000500 | No-improve: 0/25
Epoch 014 | Omega Rec: 0.299 | Anti Rec: 0.894 | A@0.55: 0.816 | Score: 0.1929 | LR: 0.000500 | No-improve: 1/25
Epoch 015 | Omega Rec: 0.297 | Anti Rec: 0.895 | A@0.55: 0.820 | Score: 0.1919 | LR: 0.000500 | No-improve: 0/25
Epoch 016 | Omega Rec: 0.305 | Anti Rec: 0.890 | A@0.55: 0.814 | Score: 0.1949 | LR: 0.000500 | No-improve: 1/25
